CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION,ESTADO_LICENCIAMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD
  029,UNIVERSIDAD DE PIURA,PRIVADO,LICENCIA OTORGADA,PIURA,PIURA,PIURA,190101,-51.766.923,-806.346.434
  030,UNIVERSIDAD RICARDO PALMA,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,SANTIAGO DE SURCO,140130,-1.213.137.641,-7.697.952.292
  032,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,PÚBLICO,LICENCIA OTORGADA,TACNA,TACNA,TACNA,220101,-180.251.828,-702.505.031
  033,UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,PÚBLICO,LICENCIA OTORGADA,ÁNCASH,HUARAZ,INDEPENDENCIA,20102,-9.517.640.566,-7.752.456.668
  034,UNIVERSIDAD NACIONAL DE SAN MARTÍN,PÚBLICO,LICENCIA OTORGADA,SAN MARTÍN,SAN MARTÍN,TARAPOTO,210601,-6.488.771.895,-7.635.940.358
  035,UNIVERSIDAD NACIONAL DE UCAYALI,PÚBLICO,LICENCIA OTORGADA,UCAYALI,CORONEL PORTILLO,CALLERIA,250101,-83.948.987,-745.776.093
  037,UNIVERSIDAD PERUANA LOS ANDES,PRIVADO,LICENCIA OTORGADA,JUNÍN,HUANCAYO,HUANCAYO,110101,-120.400.383,-751.924.434
  038,UNIVERSIDAD PERUANA UNIÓN,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,LURIGANCHO,140112,-11.989.087,-76.839.662
  039,UNIVERSIDAD ANDINA DEL CUSCO,PRIVADO,LICENCIA OTORGADA,CUSCO,CUSCO,SAN JERÓNIMO,70104,-1.353.722.798,-7.190.391.768
  040,UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,PRIVADO,LICENCIA OTORGADA,APURÍMAC,ABANCAY,ABANCAY,30101,-136.322.998,-7.288.715.942
  041,UNIVERSIDAD NACIONAL DE TUMBES,PÚBLICO,LICENCIA OTORGADA,TUMBES,TUMBES,TUMBES,230101,-3.585.267,-80.443.305
  042,UNIVERSIDAD NACIONAL DEL SANTA,PÚBLICO,LICENCIA OTORGADA,ÁNCASH,SANTA,NUEVO CHIMBOTE,21309,-9.120.895.988,-785.133.409
  043,UNIVERSIDAD PRIVADA DE TACNA,PRIVADO,LICENCIA OTORGADA,TACNA,TACNA,POCOLLAY,220109,-180.058.389,-702.254.838
  046,UNIVERSIDAD PRIVADA ANTENOR ORREGO,PRIVADO,LICENCIA OTORGADA,LA LIBERTAD,TRUJILLO,TRUJILLO,120101,-8.127.906.352,-7.903.236.073
  047,UNIVERSIDAD DE HUÁNUCO,PRIVADO,LICENCIA OTORGADA,HUÁNUCO,HUÁNUCO,HUANUCO,90101,-9.928.390.564,-762.370.196
  049,UNIVERSIDAD MARCELINO CHAMPAGNAT,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,SANTIAGO DE SURCO,140130,-121.363.972,-770.057.685
  051,UNIVERSIDAD NACIONAL DE HUANCAVELICA,PÚBLICO,LICENCIA OTORGADA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,80101,-127.781.367,-749.614.392
  052,UNIVERSIDAD CÉSAR VALLEJO S.A.C.,PRIVADO,LICENCIA OTORGADA,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,120107,-81.293.904,-790.433.213
  054,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,SANTIAGO DE SURCO,140130,-12.104.061,-76.962.902
  055,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,PRIVADO,LICENCIA OTORGADA,LA LIBERTAD,TRUJILLO,TRUJILLO,120101,-8.099.867.684,-790.190.815
057,UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,LA MOLINA,140110,-1.207.329.192,-7.695.384.422
061,UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,LIMA,140101,-1.206.960.333,-7.703.698.036
062,UNIVERSIDAD CATÓLICA SAN PABLO,PRIVADO,LICENCIA OTORGADA,AREQUIPA,AREQUIPA,AREQUIPA,40101,-163.901.384,-715.357.161
064,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,CHORRILLOS,140108,-1.219.647.398,-770.055.825
065,UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,LIMA,140101,-120.648.091,-770.363.951
067,UNIVERSIDAD CONTINENTAL S.A.C.,PRIVADO,LICENCIA OTORGADA,JUNÍN,HUANCAYO,HUANCAYO,110101,-1.204.773.072,-7.519.874.451
068,UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,VILLA EL SALVADOR,140141,-122.215.281,-769.766.998
069,UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,PRIVADO,LICENCIA OTORGADA,LAMBAYEQUE,CHICLAYO,CHICLAYO,130101,-676.034.413,-7.986.305.548
071,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,LOS OLIVOS,140142,-1.199.999.297,-7.706.386.032
072,UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.,PRIVADO,LICENCIA OTORGADA,LAMBAYEQUE,CHICLAYO,PIMENTEL,130110,-6.795.004.696,-7.988.523.121
074,UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,PRIVADO,LICENCIA OTORGADA,LA LIBERTAD,TRUJILLO,MOCHE,120104,-8.160.289.281,-790.114.454
